Year,City,State,Season,River_Name,Industry_Sector,Prominent_Pollutant,Avg_AQI,Avg_Water_Contamination,Avg_Industrial_Emission,Avg_Vehicular_Emission,Avg_Population,Avg_GDP,NCAP_Flag,AQI_Bucket,Water_Quality_Status,Avg_PM25,Avg_PM10,Avg_NO2,Avg_SO2,Avg_CO,Avg_O3,Projected_AQI_20pct_Cut
2010,Ahmedabad,Gujarat,Monsoon,Sabarmati,Chemical,NO2,130.64,1.84,27020.0,142244.0,3455.0,4183396.0,No,Moderate,Acceptable,74.17,76.63,86.03,15.94,4.1,58.45,122.8
2010,Ahmedabad,Gujarat,Monsoon,Sabarmati,Chemical,O3,127.26,1.75,16230.0,142244.0,3455.0,4183396.0,No,Moderate,Acceptable,58.87,79.32,49.53,36.28,0.88,141.23,119.62
2010,Ahmedabad,Gujarat,Monsoon,Sabarmati,Chemical,PM10,132.82,1.5,38466.5,142244.0,3455.0,4183396.0,No,Moderate,Acceptable,67.79,98.04,27.9,39.16,2.43,69.92,124.85
2010,Ahmedabad,Gujarat,Post-Monsoon,Sabarmati,Chemical,O3,141.75,1.45,28706.0,142244.0,3455.0,4183396.0,No,Moderate,Acceptable,77.55,74.67,75.92,73.34,3.34,99.19,133.24
2010,Ahmedabad,Gujarat,Post-Monsoon,Sabarmati,Chemical,PM10,165.92,0.6,27424.0,142244.0,3455.0,4183396.0,No,Moderate,Good,79.62,120.36,47.27,13.22,3.12,98.75,155.96
2010,Ahmedabad,Gujarat,Summer,Sabarmati,Chemical,O3,128.38,1.54,30881.0,142244.0,3455.0,4183396.0,No,Moderate,Acceptable,75.1,90.04,34.56,47.4,3.15,122.54,120.68
2010,Ahmedabad,Gujarat,Summer,Sabarmati,Chemical,PM10,124.24,1.21,8304.0,142244.0,3455.0,4183396.0,No,Moderate,Acceptable,70.53,89.46,48.83,59.46,1.46,11.74,116.79
2010,Ahmedabad,Gujarat,Winter,Sabarmati,Chemical,NO2,130.16,1.56,52293.0,142244.0,3455.0,4183396.0,No,Moderate,Acceptable,68.27,80.62,113.44,53.5,4.05,22.98,122.35
2010,Ahmedabad,Gujarat,Winter,Sabarmati,Chemical,O3,173.55,0.88,42591.0,142244.0,3455.0,4183396.0,No,Moderate,Good,84.65,107.04,43.92,37.73,2.86,113.12,163.14
2010,Ahmedabad,Gujarat,Winter,Sabarmati,Chemical,PM10,169.35,1.28,45038.0,142244.0,3455.0,4183396.0,No,Moderate,Acceptable,71.71,96.31,40.27,32.22,1.28,90.5,159.19
2010,Aizawl,Mizoram,Monsoon,Tlawng,Handicrafts,O3,75.62,0.92,19862.0,223961.0,3174.0,52251.0,No,Satisfactory,Good,33.6,51.26,29.96,13.76,0.6,52.0,71.08
2010,Aizawl,Mizoram,Monsoon,Tlawng,Handicrafts,PM10,80.8,1.23,32357.5,223961.0,3174.0,52251.0,No,Satisfactory,Acceptable,43.35,54.8,27.77,15.17,0.86,34.31,75.95
2010,Aizawl,Mizoram,Post-Monsoon,Tlawng,Handicrafts,O3,85.43,1.21,24453.0,223961.0,3174.0,52251.0,No,Satisfactory,Acceptable,38.02,50.83,9.43,27.06,0.9,63.44,80.3
2010,Aizawl,Mizoram,Post-Monsoon,Tlawng,Handicrafts,PM10,102.16,1.54,25488.0,223961.0,3174.0,52251.0,No,Moderate,Acceptable,57.61,70.45,50.82,12.7,1.84,50.7,96.03
2010,Aizawl,Mizoram,Summer,Tlawng,Handicrafts,PM10,78.96,1.28,32698.67,223961.0,3174.0,52251.0,No,Satisfactory,Acceptable,36.05,52.12,27.44,19.71,0.71,21.28,74.22
2010,Aizawl,Mizoram,Winter,Tlawng,Handicrafts,O3,106.79,1.43,1867.0,223961.0,3174.0,52251.0,No,Moderate,Acceptable,53.13,64.88,13.69,20.96,0.82,71.52,100.38
2010,Aizawl,Mizoram,Winter,Tlawng,Handicrafts,PM10,91.86,1.58,42036.0,223961.0,3174.0,52251.0,No,Moderate,Acceptable,41.8,61.33,19.37,20.41,1.53,28.22,86.35
2010,Amaravati,Andhra Pradesh,Monsoon,Krishna,Agro-processing,O3,150.55,1.76,22494.67,117504.0,2253.0,238596.0,No,Moderate,Acceptable,72.27,90.1,36.55,24.25,1.92,119.66,141.52
2010,Amaravati,Andhra Pradesh,Monsoon,Krishna,Agro-processing,PM10,150.64,1.03,20141.0,117504.0,2253.0,238596.0,No,Moderate,Acceptable,74.0,102.84,85.75,8.8,1.45,90.59,141.6
2010,Amaravati,Andhra Pradesh,Post-Monsoon,Krishna,Agro-processing,O3,152.86,1.53,5929.0,117504.0,2253.0,238596.0,No,Moderate,Acceptable,60.34,88.43,90.69,8.9,1.41,134.05,143.69
2010,Amaravati,Andhra Pradesh,Post-Monsoon,Krishna,Agro-processing,PM10,192.8,0.23,21297.0,117504.0,2253.0,238596.0,No,Moderate,Good,87.08,115.58,16.59,4.29,3.19,49.17,181.23
2010,Amaravati,Andhra Pradesh,Summer,Krishna,Agro-processing,O3,146.92,0.72,12897.0,117504.0,2253.0,238596.0,No,Moderate,Good,59.53,105.09,91.35,36.61,2.58,138.21,138.1
2010,Amaravati,Andhra Pradesh,Summer,Krishna,Agro-processing,PM10,145.52,0.77,29912.0,117504.0,2253.0,238596.0,No,Moderate,Good,79.09,98.7,74.36,45.43,2.24,59.12,136.79
2010,Amaravati,Andhra Pradesh,Winter,Krishna,Agro-processing,O3,171.3,0.92,14154.5,117504.0,2253.0,238596.0,No,Moderate,Good,83.53,110.48,66.14,41.93,1.76,135.29,161.02
2010,Amaravati,Andhra Pradesh,Winter,Krishna,Agro-processing,PM10,182.74,1.26,29696.0,117504.0,2253.0,238596.0,No,Moderate,Acceptable,88.96,142.36,88.38,11.52,3.38,110.49,171.78
2010,Amritsar,Punjab,Monsoon,Beas,Agro-Industry,O3,130.64,1.72,29894.33,247569.0,3158.0,575290.0,No,Moderate,Acceptable,65.38,79.56,76.11,33.19,1.97,120.54,122.8
2010,Amritsar,Punjab,Monsoon,Beas,Agro-Industry,PM10,125.73,1.55,27996.0,247569.0,3158.0,575290.0,No,Moderate,Acceptable,54.09,81.38,34.46,42.18,3.2,53.99,118.19
2010,Amritsar,Punjab,Post-Monsoon,Beas,Agro-Industry,O3,151.59,1.41,24820.0,247569.0,3158.0,575290.0,No,Moderate,Acceptable,70.28,95.46,65.89,58.8,2.52,108.87,142.49
2010,Amritsar,Punjab,Summer,Beas,Agro-Industry,NO2,128.62,1.18,40360.0,247569.0,3158.0,575290.0,No,Moderate,Acceptable,57.08,91.22,105.16,67.22,3.64,27.13,120.9
2010,Amritsar,Punjab,Summer,Beas,Agro-Industry,O3,125.24,1.23,31698.5,247569.0,3158.0,575290.0,No,Moderate,Acceptable,68.26,75.06,48.13,44.54,1.04,106.09,117.73
2010,Amritsar,Punjab,Winter,Beas,Agro-Industry,O3,144.42,1.09,15151.0,247569.0,3158.0,575290.0,No,Moderate,Acceptable,60.5,93.3,61.15,40.94,3.24,158.62,135.75
2010,Amritsar,Punjab,Winter,Beas,Agro-Industry,PM10,171.01,1.36,4283.0,247569.0,3158.0,575290.0,No,Moderate,Acceptable,96.11,111.54,63.87,66.55,2.19,29.92,160.75
2010,Bengaluru,Karnataka,Monsoon,Arkavathi,Agro-Industry,NO2,91.17,0.91,25242.5,103736.0,12399.0,1978388.0,No,Satisfactory,Acceptable,45.7,62.74,106.1,29.42,2.79,40.33,85.7
2010,Bengaluru,Karnataka,Monsoon,Arkavathi,Agro-Industry,O3,85.41,0.96,31006.5,103736.0,12399.0,1978388.0,No,Satisfactory,Acceptable,43.56,56.6,28.7,61.12,3.28,101.99,80.29
2010,Bengaluru,Karnataka,Post-Monsoon,Arkavathi,Agro-Industry,O3,90.9,1.15,51192.0,103736.0,12399.0,1978388.0,No,Satisfactory,Acceptable,36.61,58.62,28.46,14.83,2.92,61.49,85.45
2010,Bengaluru,Karnataka,Post-Monsoon,Arkavathi,Agro-Industry,PM10,121.11,1.23,15782.0,103736.0,12399.0,1978388.0,No,Moderate,Acceptable,50.04,78.94,69.33,29.52,2.22,57.24,113.84
2010,Bengaluru,Karnataka,Summer,Arkavathi,Agro-Industry,NO2,88.93,1.28,20555.0,103736.0,12399.0,1978388.0,No,Satisfactory,Acceptable,42.82,58.12,71.58,20.79,2.66,10.9,83.59
2010,Bengaluru,Karnataka,Summer,Arkavathi,Agro-Industry,O3,90.63,1.62,23072.0,103736.0,12399.0,1978388.0,No,Satisfactory,Acceptable,46.3,65.55,121.41,67.27,2.27,132.12,85.19
2010,Bengaluru,Karnataka,Summer,Arkavathi,Agro-Industry,SO2,91.73,0.45,22031.0,103736.0,12399.0,1978388.0,No,Satisfactory,Good,48.6,55.36,70.22,74.54,4.39,47.6,86.23
2010,Bengaluru,Karnataka,Winter,Arkavathi,Agro-Industry,O3,110.67,0.97,30143.0,103736.0,12399.0,1978388.0,No,Moderate,Acceptable,49.11,67.63,56.04,39.51,2.98,151.87,104.03
2010,Bhopal,Madhya Pradesh,Monsoon,Betwa,Manufacturing,O3,113.0,1.01,25744.0,18839.0,11244.0,297512.0,No,Moderate,Acceptable,52.52,68.1,55.22,71.44,3.18,170.58,106.22
2010,Bhopal,Madhya Pradesh,Monsoon,Betwa,Manufacturing,PM10,111.82,2.07,31406.0,18839.0,11244.0,297512.0,No,Moderate,Polluted,67.23,74.76,61.49,58.82,3.97,27.79,105.11
2010,Bhopal,Madhya Pradesh,Monsoon,Betwa,Manufacturing,SO2,106.73,1.43,9056.0,18839.0,11244.0,297512.0,No,Moderate,Acceptable,66.06,66.54,10.8,67.24,4.1,24.42,100.33
2010,Bhopal,Madhya Pradesh,Post-Monsoon,Betwa,Manufacturing,O3,132.62,0.6,36081.5,18839.0,11244.0,297512.0,No,Moderate,Good,63.24,95.12,43.24,40.2,2.11,151.34,124.66
2010,Bhopal,Madhya Pradesh,Summer,Betwa,Manufacturing,NO2,112.54,1.52,19485.0,18839.0,11244.0,297512.0,No,Moderate,Acceptable,50.95,71.01,72.19,6.8,3.31,28.22,105.79
2010,Bhopal,Madhya Pradesh,Summer,Betwa,Manufacturing,O3,115.59,0.69,26206.5,18839.0,11244.0,297512.0,No,Moderate,Good,60.12,73.58,73.32,69.42,2.34,114.13,108.65
2010,Bhopal,Madhya Pradesh,Winter,Betwa,Manufacturing,O3,127.97,1.15,24594.0,18839.0,11244.0,297512.0,No,Moderate,Acceptable,64.3,91.74,77.82,15.04,2.25,121.26,120.29
2010,Bhopal,Madhya Pradesh,Winter,Betwa,Manufacturing,PM10,143.47,1.62,32081.0,18839.0,11244.0,297512.0,No,Moderate,Acceptable,80.29,105.21,49.31,25.91,2.8,53.86,134.86
2010,Brajrajnagar,Odisha,Monsoon,Ib,Coal/Power,NO2,91.24,1.02,29635.0,226737.0,7637.0,50415.0,No,Satisfactory,Good,48.02,62.98,113.0,48.68,2.86,53.55,85.77
2010,Brajrajnagar,Odisha,Monsoon,Ib,Coal/Power,O3,89.18,1.52,19874.0,226737.0,7637.0,50415.0,No,Satisfactory,Acceptable,42.35,58.31,101.16,18.8,0.88,129.74,83.83
2010,Brajrajnagar,Odisha,Post-Monsoon,Ib,Coal/Power,O3,104.68,1.19,20910.0,226737.0,7637.0,50415.0,No,Satisfactory,Acceptable,54.24,69.64,15.82,56.3,2.08,180.53,98.4
2010,Brajrajnagar,Odisha,Summer,Ib,Coal/Power,NO2,93.51,1.21,38837.0,226737.0,7637.0,50415.0,No,Satisfactory,Acceptable,50.61,63.41,117.71,69.18,3.22,66.61,87.9
2010,Brajrajnagar,Odisha,Summer,Ib,Coal/Power,O3,90.35,1.06,23717.0,226737.0,7637.0,50415.0,No,Satisfactory,Acceptable,48.54,61.14,110.64,28.48,3.66,164.13,84.93
2010,Brajrajnagar,Odisha,Winter,Ib,Coal/Power,NO2,119.8,1.07,22693.5,226737.0,7637.0,50415.0,No,Moderate,Good,50.3,83.06,134.2,34.95,3.61,111.32,112.61
2010,Brajrajnagar,Odisha,Winter,Ib,Coal/Power,O3,92.24,1.44,51077.0,226737.0,7637.0,50415.0,No,Satisfactory,Acceptable,50.73,52.89,78.23,39.0,4.78,149.82,86.71
