City,Current_AQI,Avg_Vehicular,Avg_Industrial,Avg_Population,State,Projected_AQI_20pct_Cut,AQI_Drop,Improvement_Pct,Vehicular_Reduction_20pct
Ahmedabad,416.51,4725902.98,187856.2,10158.25,Gujarat,410.65,5.86,1.41,3780722.38
Aizawl,70.31,149500.98,38502.38,25133.9,Mizoram,69.32,0.99,1.41,119600.78
Amaravati,104.66,49313.11,163403.09,96395.02,Andhra Pradesh,103.19,1.47,1.4,39450.49
Amritsar,121.95,1829961.15,280338.19,4480.79,Punjab,120.24,1.71,1.4,1463968.92
Bengaluru,95.4,6852569.0,285522.89,5227.95,Karnataka,94.06,1.34,1.4,5482055.2
Bhopal,133.31,1731067.61,219329.06,5210.76,Madhya Pradesh,131.44,1.87,1.4,1384854.09
Brajrajnagar,143.56,181810.04,759102.06,20414.85,Odisha,141.54,2.02,1.41,145448.03
Chandigarh,105.53,1168080.66,129276.71,7770.25,Chandigarh,104.05,1.48,1.4,934464.53
Chennai,116.68,5275143.08,141840.84,27605.4,Tamil Nadu,115.04,1.64,1.41,4220114.46
Coimbatore,97.36,1939488.53,150615.53,7137.39,Tamil Nadu,95.99,1.37,1.41,1551590.82
Delhi,255.98,11085610.33,229060.07,11671.15,Delhi,252.38,3.6,1.41,8868488.26
Ernakulam,161.71,77484.48,168609.15,89942.18,Kerala,159.44,2.27,1.4,61987.58
Gurugram,218.73,139137.46,723493.05,208288.49,Haryana,215.65,3.08,1.41,111309.97
Guwahati,156.6,1250812.29,332666.32,2028.81,Assam,154.4,2.2,1.4,1000649.83
Hyderabad,114.61,6043944.51,296819.75,19087.44,Telangana,113.0,1.61,1.4,4835155.61
Jaipur,136.35,3491806.89,141706.92,7423.03,Rajasthan,134.43,1.92,1.41,2793445.51
Jorapokhar,153.51,219190.01,1103712.26,26719.4,Jharkhand,151.35,2.16,1.41,175352.01
Kochi,179.05,86472.78,214491.98,149907.44,Kerala,176.53,2.52,1.41,69178.22
Kolkata,152.34,3872672.74,236516.63,23419.63,West Bengal,150.2,2.14,1.4,3098138.19
Lucknow,219.51,2550237.42,210428.0,2202.85,Uttar Pradesh,216.42,3.09,1.41,2040189.94
Mumbai,108.95,8120743.64,160905.19,21672.83,Maharashtra,107.42,1.53,1.4,6496594.91
Patna,216.8,1969329.13,236518.9,1888.14,Bihar,213.75,3.05,1.41,1575463.3
Shillong,71.41,91553.11,40128.83,34572.59,Meghalaya,70.41,1.0,1.4,73242.49
Talcher,175.81,436771.9,2214634.57,33842.93,Odisha,173.34,2.47,1.4,349417.52
Thiruvananthapuram,84.01,69233.54,231291.31,225494.17,Kerala,82.83,1.18,1.4,55386.83
Visakhapatnam,120.13,1976350.37,227584.45,745.42,Andhra Pradesh,118.44,1.69,1.41,1581080.3
