Station_Name,Date,Year,Month,Month_Name,Season,City,State,City_Tier,Latitude,Longitude,AQI,AQI_Bucket,AQI_Risk_Level,AQI_Improvement_Rate,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,Prominent_Pollutant,PM25_Standard_Exceeded,PM10_Standard_Exceeded,BOD,DO,pH,Coliform_Count,Fecal_Coliform,Total_Coliform,Water_Contamination_Index,Water_Quality_Status,Water_Body_Type,River_Name,BOD_Standard_Exceeded,DO_Standard_Below,All_Vehicles,Vehicular_Emission,Adjusted_Vehicular_Emission,Veh_Reduction_Pct,Vehicular_Emission_Reduction_Scenario,Industry_Name,Industry_Sector,CO2_Emissions,SO2_Emissions,NOx_Emissions,Total_Industrial_Emission,Industry_Emission_Rank,Population_Density,GDP_Cr,Pollution_per_Capita,Pollution_vs_GDP_Ratio,Public_Transport_Usage_Percent,NCAP_Flag,River_Pollution_Rank,Relative_Humidity_Pct,Temperature_C,Scenario_Label
"Satellite, Ahmedabad - GPCB",1/15/2010,2010,1,Jan,Winter,Ahmedabad,Gujarat,1,23.03,72.59,173.55,Moderate,Moderate,0.25,84.65,107.04,17.57,43.92,57.1,16.93,2.86,37.73,113.12,4.23,5.93,2.54,O3,Yes,Yes,1.787,4.27,6.526,2187,1094,5905,0.88,Good,River,Sabarmati,No,Yes,167346,142244,142244,0,Baseline,Pharmaceuticals,Chemical,38736,857,2998,42591,4,3455,4183396,12.3274,0.010181,31,No,6,72,13.83,Scenario-Base
"Satellite, Ahmedabad - GPCB",2/15/2010,2010,2,Feb,Winter,Ahmedabad,Gujarat,1,23.03,72.59,130.16,Moderate,Moderate,-4.54,68.27,80.62,45.38,113.44,147.47,13.65,4.05,53.5,22.98,3.41,4.78,2.05,NO2,Yes,No,5.044,8.412,7.802,4730,2365,12771,1.56,Acceptable,River,Sabarmati,Yes,No,167346,142244,142244,0,Baseline,Pharmaceuticals,Chemical,49791,1594,908,52293,4,3455,4183396,15.1355,0.0125,31,No,6,72,15.55,Scenario-Base
"Satellite, Ahmedabad - GPCB",3/15/2010,2010,3,Mar,Summer,Ahmedabad,Gujarat,1,23.03,72.59,127.44,Moderate,Moderate,-3.15,75.85,89.36,8.33,20.82,27.07,15.17,4.19,33.39,129.95,3.79,5.31,2.28,O3,Yes,No,3.906,6.79,8.333,3027,1514,8173,1.42,Acceptable,River,Sabarmati,Yes,No,167346,142244,142244,0,Baseline,Pharmaceuticals,Chemical,12156,1355,871,14382,4,3455,4183396,4.1627,0.003438,31,No,6,72,35.28,Scenario-Base
"Satellite, Ahmedabad - GPCB",4/15/2010,2010,4,Apr,Summer,Ahmedabad,Gujarat,1,23.03,72.59,124.24,Moderate,Moderate,3.02,70.53,89.46,19.53,48.83,63.48,14.11,1.46,59.46,11.74,3.53,4.94,2.12,PM10,Yes,No,3.418,8.343,7.66,4029,2014,10878,1.21,Acceptable,River,Sabarmati,Yes,No,167346,142244,142244,0,Baseline,Pharmaceuticals,Chemical,7301,426,577,8304,4,3455,4183396,2.4035,0.001985,31,No,6,72,32.85,Scenario-Base
"Satellite, Ahmedabad - GPCB",5/15/2010,2010,5,May,Summer,Ahmedabad,Gujarat,1,23.03,72.59,129.32,Moderate,Moderate,1.38,74.34,90.72,19.32,48.31,62.8,14.87,2.11,61.41,115.13,3.72,5.2,2.23,O3,Yes,No,7.116,5.497,7.994,2754,1377,7436,1.65,Acceptable,River,Sabarmati,Yes,No,167346,142244,142244,0,Baseline,Pharmaceuticals,Chemical,45476,938,966,47380,4,3455,4183396,13.7135,0.011326,31,No,6,72,36.38,Scenario-Base
"Satellite, Ahmedabad - GPCB",6/15/2010,2010,6,Jun,Monsoon,Ahmedabad,Gujarat,1,23.03,72.59,127.26,Moderate,Moderate,-3.92,58.87,79.32,19.81,49.53,64.39,11.77,0.88,36.28,141.23,2.94,4.12,1.77,O3,No,No,7.565,5.641,8.271,2191,1096,5916,1.75,Acceptable,River,Sabarmati,Yes,No,167346,142244,142244,0,Baseline,Pharmaceuticals,Chemical,11791,1725,2714,16230,4,3455,4183396,4.6975,0.00388,31,No,6,72,25.15,Scenario-Base
"Satellite, Ahmedabad - GPCB",7/15/2010,2010,7,Jul,Monsoon,Ahmedabad,Gujarat,1,23.03,72.59,132.34,Moderate,Moderate,-3.13,68.38,96.26,18.06,45.14,58.68,13.68,3.93,27.82,59.53,3.42,4.79,2.05,PM10,Yes,No,6.987,4.358,7.875,4214,2107,11378,1.93,Acceptable,River,Sabarmati,Yes,Yes,167346,142244,142244,0,Baseline,Pharmaceuticals,Chemical,43536,1931,971,46438,4,3455,4183396,13.4408,0.011101,31,No,6,72,29.82,Scenario-Base
"Satellite, Ahmedabad - GPCB",8/15/2010,2010,8,Aug,Monsoon,Ahmedabad,Gujarat,1,23.03,72.59,133.3,Moderate,Moderate,-2.78,67.2,99.82,4.26,10.65,13.85,13.44,0.92,50.5,80.31,3.36,4.7,2.02,PM10,Yes,No,1.599,5.046,7.88,4038,2019,10903,1.07,Acceptable,River,Sabarmati,No,No,167346,142244,142244,0,Baseline,Pharmaceuticals,Chemical,28502,900,1093,30495,4,3455,4183396,8.8263,0.00729,31,No,6,72,27.5,Scenario-Base
"Satellite, Ahmedabad - GPCB",9/15/2010,2010,9,Sep,Monsoon,Ahmedabad,Gujarat,1,23.03,72.59,130.64,Moderate,Moderate,-2.21,74.17,76.63,34.41,86.03,111.84,14.83,4.1,15.94,58.45,3.71,5.19,2.23,NO2,Yes,No,3.595,3.943,8.369,4452,2226,12020,1.84,Acceptable,River,Sabarmati,Yes,Yes,167346,142244,142244,0,Baseline,Pharmaceuticals,Chemical,24189,108,2723,27020,4,3455,4183396,7.8205,0.006459,31,No,6,72,25.31,Scenario-Base
"Satellite, Ahmedabad - GPCB",10/15/2010,2010,10,Oct,Post-Monsoon,Ahmedabad,Gujarat,1,23.03,72.59,141.75,Moderate,Moderate,0.36,77.55,74.67,30.37,75.92,98.7,15.51,3.34,73.34,99.19,3.88,5.43,2.33,O3,Yes,No,3.444,7.305,8.522,3079,1540,8313,1.45,Acceptable,River,Sabarmati,Yes,No,167346,142244,142244,0,Baseline,Pharmaceuticals,Chemical,25732,377,2597,28706,4,3455,4183396,8.3085,0.006862,31,No,6,72,22.8,Scenario-Base
"Satellite, Ahmedabad - GPCB",11/15/2010,2010,11,Nov,Post-Monsoon,Ahmedabad,Gujarat,1,23.03,72.59,165.92,Moderate,Moderate,3.77,79.62,120.36,18.91,47.27,61.45,15.92,3.12,13.22,98.75,3.98,5.57,2.39,PM10,Yes,Yes,2.08,7.833,7.156,2189,1094,5910,0.6,Good,River,Sabarmati,No,No,167346,142244,142244,0,Baseline,Pharmaceuticals,Chemical,25339,530,1555,27424,4,3455,4183396,7.9375,0.006555,31,No,6,72,24.55,Scenario-Base
"Satellite, Ahmedabad - GPCB",12/15/2010,2010,12,Dec,Winter,Ahmedabad,Gujarat,1,23.03,72.59,169.35,Moderate,Moderate,3.97,71.71,96.31,16.11,40.27,52.35,14.34,1.28,32.22,90.5,3.59,5.02,2.15,PM10,Yes,No,5.639,5.149,6.533,3061,1530,8265,1.28,Acceptable,River,Sabarmati,Yes,No,167346,142244,142244,0,Baseline,Pharmaceuticals,Chemical,44110,292,636,45038,4,3455,4183396,13.0356,0.010766,31,No,6,72,16.36,Scenario-Base
"Satellite, Ahmedabad - GPCB",1/15/2011,2011,1,Jan,Winter,Ahmedabad,Gujarat,1,23.03,72.59,174.3,Moderate,Moderate,2.46,76.79,102.86,24.17,60.42,78.55,15.36,2.07,57.5,76.03,3.84,5.38,2.3,PM10,Yes,Yes,5.845,6.706,7.37,1676,838,4525,1.09,Acceptable,River,Sabarmati,Yes,No,168584,143296,143296,0,Baseline,Pharmaceuticals,Chemical,19613,839,360,20812,4,3473,4434399,5.9925,0.004693,31,No,6,72,13.95,Scenario-Base
"Satellite, Ahmedabad - GPCB",2/15/2011,2011,2,Feb,Winter,Ahmedabad,Gujarat,1,23.03,72.59,136.14,Moderate,Moderate,1.31,59.68,91.11,45.9,114.76,149.19,11.94,0.8,11.95,25.41,2.98,4.18,1.79,NO2,No,No,2.74,7.633,8.168,4510,2255,12177,1.39,Acceptable,River,Sabarmati,No,No,168584,143296,143296,0,Baseline,Pharmaceuticals,Chemical,39416,944,1748,42108,4,3473,4434399,12.1244,0.009496,31,No,6,72,17.35,Scenario-Base
"Satellite, Ahmedabad - GPCB",3/15/2011,2011,3,Mar,Summer,Ahmedabad,Gujarat,1,23.03,72.59,133.05,Moderate,Moderate,3.53,74.1,78.37,29.85,74.63,97.02,14.82,3.43,43.81,47.43,3.71,5.19,2.22,PM10,Yes,No,7.512,5.296,7.511,1732,866,4676,1.37,Acceptable,River,Sabarmati,Yes,No,168584,143296,143296,0,Baseline,Pharmaceuticals,Chemical,6661,396,2971,10028,4,3473,4434399,2.8874,0.002261,31,No,6,72,37.78,Scenario-Base
"Satellite, Ahmedabad - GPCB",4/15/2011,2011,4,Apr,Summer,Ahmedabad,Gujarat,1,23.03,72.59,132.71,Moderate,Moderate,4.9,60.42,72.55,22.89,57.22,74.39,12.08,2.9,15.43,13.48,3.02,4.23,1.81,PM10,Yes,No,4.937,7.175,6.633,786,393,2122,0.87,Good,River,Sabarmati,Yes,No,168584,143296,143296,0,Baseline,Pharmaceuticals,Chemical,38955,870,367,40192,4,3473,4434399,11.5727,0.009064,31,No,6,72,35.69,Scenario-Base
"Satellite, Ahmedabad - GPCB",5/15/2011,2011,5,May,Summer,Ahmedabad,Gujarat,1,23.03,72.59,133.23,Moderate,Moderate,1.5,73.39,92.99,12.2,30.5,39.65,14.68,2.78,32.01,12.46,3.67,5.14,2.2,PM10,Yes,No,4.347,5.092,8.365,1186,593,3202,1.26,Acceptable,River,Sabarmati,Yes,No,168584,143296,143296,0,Baseline,Pharmaceuticals,Chemical,20527,366,472,21365,4,3473,4434399,6.1517,0.004818,31,No,6,72,36.79,Scenario-Base
"Satellite, Ahmedabad - GPCB",6/15/2011,2011,6,Jun,Monsoon,Ahmedabad,Gujarat,1,23.03,72.59,148.37,Moderate,Moderate,0.91,61.72,95.84,20.21,50.52,65.68,12.34,0.36,18.41,102.27,3.09,4.32,1.85,O3,Yes,No,4.427,4.267,7.299,1394,697,3764,1.04,Acceptable,River,Sabarmati,Yes,Yes,168584,143296,143296,0,Baseline,Pharmaceuticals,Chemical,35874,766,1462,38102,4,3473,4434399,10.9709,0.008592,31,No,6,72,26.72,Scenario-Base
"Satellite, Ahmedabad - GPCB",7/15/2011,2011,7,Jul,Monsoon,Ahmedabad,Gujarat,1,23.03,72.59,131.12,Moderate,Moderate,4.76,81.58,96.19,31.74,79.35,103.16,16.32,1.82,40.12,166.28,4.08,5.71,2.45,O3,Yes,No,7.422,3.994,6.98,2109,1054,5694,1.45,Acceptable,River,Sabarmati,Yes,Yes,168584,143296,143296,0,Baseline,Pharmaceuticals,Chemical,23408,1107,212,24727,4,3473,4434399,7.1198,0.005576,31,No,6,72,29.36,Scenario-Base
"Satellite, Ahmedabad - GPCB",8/15/2011,2011,8,Aug,Monsoon,Ahmedabad,Gujarat,1,23.03,72.59,135.53,Moderate,Moderate,-2.5,51.66,85.48,43.52,108.8,141.44,10.33,2.52,61.53,13.95,2.58,3.62,1.55,NO2,No,No,1.495,6.897,6.844,2871,1436,7752,0.61,Good,River,Sabarmati,No,No,168584,143296,143296,0,Baseline,Pharmaceuticals,Chemical,23224,409,1449,25082,4,3473,4434399,7.222,0.005656,31,No,6,72,25.94,Scenario-Base
"Satellite, Ahmedabad - GPCB",9/15/2011,2011,9,Sep,Monsoon,Ahmedabad,Gujarat,1,23.03,72.59,140.04,Moderate,Moderate,-4.02,76.92,76.01,47.27,118.17,153.62,15.38,2.29,23.4,125.98,3.85,5.38,2.31,O3,Yes,No,6.358,4.983,6.509,3190,1595,8613,1.4,Acceptable,River,Sabarmati,Yes,Yes,168584,143296,143296,0,Baseline,Pharmaceuticals,Chemical,16789,1066,287,18142,4,3473,4434399,5.2237,0.004091,31,No,6,72,27.85,Scenario-Base
