id,Station_Name,Date,Year,Month,Month_Name,Season,City,State,City_Tier,Latitude,Longitude,AQI,AQI_Bucket,AQI_Risk_Level,AQI_Improvement_Rate,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,Prominent_Pollutant,PM25_Standard_Exceeded,PM10_Standard_Exceeded,BOD,DO,pH,Coliform_Count,Fecal_Coliform,Total_Coliform,Water_Contamination_Index,Water_Quality_Status,Water_Body_Type,River_Name,BOD_Standard_Exceeded,DO_Standard_Below,All_Vehicles,Vehicular_Emission,Adjusted_Vehicular_Emission,Veh_Reduction_Pct,Vehicular_Emission_Reduction_Scenario,Industry_Name,Industry_Sector,CO2_Emissions,SO2_Emissions,NOx_Emissions,Total_Industrial_Emission,Industry_Emission_Rank,Population_Density,GDP_Cr,Pollution_per_Capita,Pollution_vs_GDP_Ratio,Public_Transport_Usage_Percent,NCAP_Flag,River_Pollution_Rank,Relative_Humidity_Pct,Temperature_C
28946,"Bandra, Mumbai - Mpcb",2018-09-13,2018,9.0,Sep,Monsoon,Ahmedabad,Maharashtra,1.0,19.08,72.88,82.0,Satisfactory,Low,6.28,53.08,48.32,34.93,21.2,56.14,11.87,1.44,17.7,32.47,0.84,0.0,0.0,Pm10,No,No,11.05,3.72,6.95,311.0,69.5,1853.5,4.08,Heavily Polluted,River,Ulhas,Yes,Yes,10243907.5,9151971.5,10243907.5,0.0,Baseline,Petrochemical,Manufacturing,115579.0,197.5,236.5,115913.0,4.0,22813.5,23797006.5,5.12,0.004752,57.5,No,4.0,65.5,21.95
15115,"Bandra, Mumbai - Mpcb",2020-05-26,2018,5.0,May,Summer,Mumbai,Maharashtra,1.0,19.08,72.88,57.0,Satisfactory,Low,9.89,12.64,60.01,15.81,8.14,26.0,3.08,0.24,8.57,18.75,0.62,0.0,0.0,Pm10,No,No,5.4,4.51,7.39,188.0,58.0,303.0,3.68,Heavily Polluted,River,Ulhas,Yes,No,2658674.5,2412065.0,9570446.0,0.0,Vehicular Reduction 20%,Petrochemical,Manufacturing,224053.0,306.0,501.0,224860.0,5.0,22885.0,24469465.0,9.43,0.009189,51.0,Yes,2.0,53.0,25.9
29434,"Igsc Planetarium, Patna - Bspcb",2017-04-26,2017,4.0,Apr,Summmer,Patna,Bihar,1.0,25.59,85.14,157.0,Moderate,Moderate,-0.28,63.68,102.23,10.41,15.49,21.41,12.18,0.98,12.62,32.47,0.31,3.0,0.66,Pm10,Yes,Yes,4.06,7.27,7.67,12860.0,6611.5,20.0,3.32,Moderately Polluted,River,Ganga,Yes,No,2248038.5,1984129.0,2248038.5,0.0,Baseline,Brick Kiln,Power,408861.5,885.5,623.0,410879.5,5.0,1959.0,412318.0,12.6789,1.009296,40.0,No,7.0,44.5,30.95
28035,"Btm Layout, Bengaluru - Kspcb",2018-06-07,2018,6.0,Jun,Monsoon,Bengaluru,Karnataka,1.0,22.57,78.49,70.0,Satisfctory,Low,-0.64,25.27,31.71,11.63,16.84,17.37,13.26,1.0,5.85,13.22,0.07,0.77,1.03,Pm10,No,No,7.33,5.14,7.35,49036.0,13341.0,2708.0,4.53,Severely Polluted,River,Arkavathi,Yes,No,8499009.0,2412065.0,8499009.0,0.0,Baseline,Automobile,Agro-Industry,224613.0,520.0,310.0,225443.0,7.0,4773.0,3111653.0,47.46,0.076469,55.0,No,6.0,78.0,21.1
19245,"Bandra, Mumbai - Mpcb",2019-06-23,2019,6.0,Jun,Monsoon,Ahmedabad,Telangana,1.0,17.39,78.49,60.0,Satisfactory,Low,-4.65,26.44,48.17,11.63,19.64,12.24,9.98,0.46,4.77,32.47,0.78,4.58,0.55,Pm10,No,No,10.275,2.76,8.815,424.0,25.0,282690.5,4.22,Heavily Polluted,River,Musi,Yes,Yes,8555858.0,7172887.5,6844686.0,0.0,Vehicular Reduction 20%,Pharma/Chemical,Chemical,227235.0,420.0,365.0,228138.0,3.0,20740.0,8601201.5,10.98,0.031603,40.0,Yes,6.0,50.5,26.65
16227,"Bandra, Mumbai - Mpcb",2016-01-19,2016,1.0,Jan,Monsoon,Mumbai,Tamil Nadu,1.0,19.08,72.88,123.0,Moderate,Moderate,8.48,72.62,169.75,11.63,43.85,32.62,18.76,0.0,12.48,40.0,0.0,0.0,0.0,Pm10,Yes,Yes,7.72,4.66,7.595,3596.0,63.0,818.0,3.8,Heavily Polluted,River,Ulhas,Yes,Yes,8903192.5,7446672.0,8840730.5,10.0,Baseline,Petrochemical,Manufacturing,197498.0,313.5,371.0,224723.5,5.5,22278.5,22031655.5,12.6789,0.010033,40.0,No,7.0,58.5,26.25
28264,"Town Hall, Amritsar - Ppcb",2017-09-16,2017,9.0,Sep,Monsoon,Amritsar,Tamil Nadu,2.0,22.57,74.87,136.0,Moderate,Moderate,6.07,54.76,153.86,10.52,17.54,23.66,19.45,0.77,4.69,8.74,1.98,1.66,18.02,Pm10,No,Yes,2.58,6.36,7.51,550.0,275.0,1239.0,2.39,Acceptable,River,Beas,No,No,2014253.0,1827483.0,2014253.0,0.0,Baseline,Textiles,Manufacturing,276226.0,489.0,738.0,277453.0,5.0,4502.0,769868.0,61.22,0.031603,49.0,No,8.0,55.0,25.7
13621,"Town Hall, Amritsar - Ppcb",2018-04-27,2018,4.0,Apr,Monsoon,Amritsar,Tamil Nadu,2.0,31.63,74.87,138.0,Moderate,Moderate,-2.23,53.08,203.55,16.81,9.99,31.27,8.01,0.72,5.37,32.47,3.07,2.55,7.33,Pm10,No,Yes,2.53,9.065,8.02,206.5,1702.0,287.5,1.76,Acceptable,River,Beas,No,No,2658674.5,1942771.0,2076120.0,10.0,Baseline,Textiles,Agro-Industry,262997.5,420.0,916.0,264385.5,5.5,11664.0,859516.0,57.805,0.305829,50.5,No,6.0,60.0,25.9
17748,"Secretariat, Amaravati - Appcb",2020-01-26,2018,1.0,Jan,Winter,Amaravati,Tamil Nadu,2.0,16.51,78.49,77.0,Satisfactory,Low,0.74,53.08,63.99,2.48,15.39,10.2,16.55,0.61,20.0,32.47,0.46,2.55,0.15,Pm10,No,No,2.59,5.7,7.56,4879.0,6883.0,10110.0,3.22,Acceptable,River,Krishna,No,No,217915.0,21848.0,20755.6,0.0,Baseline,Agro-processing,Agro-Processing,91520.0,420.0,14676.0,115244.0,6.0,111641.0,284678.0,0.1537,0.031603,40.0,No,8.0,61.0,23.4
14097,"Jorapokhar, Dhanbad - Jspcb",2019-01-10,2019,1.0,Jan,Winter,Jorapokhar,Jharkhand,3.0,22.57,86.42,280.0,Poor,High,-1.66,140.03,200.64,10.29,10.91,24.36,6.3,0.32,53.83,31.68,0.97,2.55,1.03,Pm10,Yes,Yes,6.96,4.33,7.498,7231.0,4322.0,1603.0,4.7,Moderately Polluted,River,Yamuna,Yes,Yes,74886.0,183832.0,174640.4,0.0,Baseline,Mining/Coal,Mining/Coal,968651.0,137757.0,136368.0,1242776.0,15.0,24336.0,69046.0,6.2139,2e-06,40.0,No,14.0,79.0,29.4
33063,"Kowdiar, Thiruvananthapuram - Kspcb",2020-01-08,2020,1.0,May,Monsoon,Ahmedabad,Kerala,2.0,8.52,78.49,73.0,Moderate,Low,1.49,16.57,37.56,11.63,15.99,14.51,16.27,0.84,7.55,32.47,0.97,2.55,1.03,Pm10,No,No,2.25,4.9,7.51,9746.0,6252.0,16270.0,2.51,Acceptable,River,Karamana,No,No,547884.0,28031.0,26629.45,0.0,Baseline,IT/Electronics,It/Electronics,255388.0,27334.0,19373.0,302095.0,19.0,11664.0,805184.0,0.1777,0.0,54.0,No,4.0,84.0,23.2
14598,"Vikas Sadan, Gurugram - Hspcb",2017-03-05,2017,6.0,Mar,Monsoon,Gurugram,Haryana,1.0,28.46,77.03,162.0,Moderate,Moderate,1.99,73.25,151.22,11.63,18.16,22.97,45.05,0.55,9.33,32.47,0.03,2.55,15.62,Pm10,Yes,Yes,2.11,5.69,7.498,6012.0,1754.0,11131.0,2.99,Acceptable,River,Sahibi,Yes,No,980021.0,142677.0,135543.15,0.0,Baseline,Automobile,Automobile,602634.0,47862.0,623.0,202502.0,16.0,227080.0,2177642.0,12.6789,0.0,19.0,No,18.0,69.0,12.7
27198,"Talkatora, Lucknow - Uppcb",2020-06-22,2020,6.0,Jun,Monsoon,Lucknow,Uttar Pradesh,1.0,26.85,80.95,64.0,Satisfactory,Low,9.275,29.44,97.0,6.49,7.97,9.31,11.42,1.02,10.78,49.16,10.45,6.21,1.03,Pm10,No,No,1.88,3.455,7.498,3596.0,25.0,230.5,2.645,Acceptable,River,Yamuna,No,No,4083835.0,3422689.5,3267068.0,10.0,Vehicular Reduction 20%,Food Processing,Agro-Industry,94572.5,127.0,168.0,94882.5,6.0,2056.5,1251760.0,46.745,0.0751635,33.5,Yes,5.5,61.0,25.9
13766,"Civic Centre, Brajrajnagar - Ospcb",2020-05-21,2020,6.0,May,Summr,Brajrajnagar,Odisha,3.0,21.82,83.92,118.0,Modrate,Moderate,-3.45,53.08,110.69,6.98,17.05,18.78,11.07,2.02,12.47,27.09,0.0,2.55,1.03,Pm10,No,No,5.05,3.47,7.63,11267.0,4717.0,4294.0,4.47,Moderately Polluted,River,Ib,Yes,Yes,2658674.5,143521.0,136344.949999999,0.0,Baseline,Coal/Power,Coal/Power,861695.0,114991.0,87523.0,1064209.0,9.0,28971.0,1938507.5,12.6789,1e-06,33.0,No,17.0,65.0,36.2
