State,City,Year,Avg_AQI,Std_AQI,Avg_Water,Avg_Emission
Andhra Pradesh,Amaravati,2010,161.1267,14.9806,1.0608,19773.6458
Andhra Pradesh,Amaravati,2011,162.1481,14.4797,1.2121,30463.6042
Andhra Pradesh,Amaravati,2012,164.2733,17.5912,1.3256,30983.625
Andhra Pradesh,Amaravati,2013,167.0838,16.2598,1.1081,20788.4375
Andhra Pradesh,Amaravati,2014,172.8983,16.7464,1.1704,28107.4375
Andhra Pradesh,Amaravati,2015,169.861,15.657,1.2329,29712.6042
Andhra Pradesh,Amaravati,2016,170.2002,16.7582,1.1186,28647.375
Andhra Pradesh,Amaravati,2017,169.0522,18.0741,1.8976,91408.8532
Andhra Pradesh,Amaravati,2018,101.8228,35.7735,2.6443,183957.6894
Andhra Pradesh,Amaravati,2019,97.1163,37.8876,2.6337,188933.1192
Andhra Pradesh,Amaravati,2020,94.656,65.9347,2.2496,143026.9808
Andhra Pradesh,Amaravati,2021,181.6271,16.0398,1.2412,30294.875
Andhra Pradesh,Amaravati,2022,178.6529,16.5038,1.1275,32907.9375
Andhra Pradesh,Amaravati,2023,189.5498,18.9253,1.3929,36308.9792
Andhra Pradesh,Amaravati,2024,184.64,17.5769,1.0444,21732.1458
Andhra Pradesh,Amaravati,2025,177.8277,15.4268,1.2548,28204.75
Andhra Pradesh,Visakhapatnam,2010,179.5142,18.1011,1.0562,19773.6458
Andhra Pradesh,Visakhapatnam,2011,180.9931,18.1675,1.1888,30463.6042
Andhra Pradesh,Visakhapatnam,2012,184.5929,15.5446,1.3333,30983.625
Andhra Pradesh,Visakhapatnam,2013,184.6808,20.9776,1.1073,20788.4375
Andhra Pradesh,Visakhapatnam,2014,188.6262,20.6496,1.1623,28107.4375
Andhra Pradesh,Visakhapatnam,2015,189.0686,22.3236,1.2304,29712.6042
Andhra Pradesh,Visakhapatnam,2016,125.0593,41.189,2.7682,293010.7604
Andhra Pradesh,Visakhapatnam,2017,111.5222,30.417,3.1122,173268.3147
Andhra Pradesh,Visakhapatnam,2018,129.1977,44.38,3.1821,286208.2796
Andhra Pradesh,Visakhapatnam,2019,120.7173,35.2932,3.1689,181772.5259
Andhra Pradesh,Visakhapatnam,2020,124.3228,68.9567,2.5482,304332.8616
Andhra Pradesh,Visakhapatnam,2021,201.916,21.4403,1.2344,30294.875
